student_id,first_name,last_name,class,roll_no,attendance_percent,fees_due_days,attempts_in_subject_X,last_test_1,last_test_2,last_test_3,last_3_tests_avg,previous_3_tests_avg
S001,Reyansh,Sharma,SY,1,73,4,3,75,89,84,82.67,91.67
S002,Vihaan,Patel,TY,2,59,21,4,8,7,13,9.33,13.33
S003,Krishna,Verma,TY,3,75,28,2,73,57,65,65.0,69.0
S004,Arjun,Verma,FY,4,35,54,1,57,59,74,63.33,66.33
S005,Reyansh,Mishra,FY,5,66,2,2,16,49,50,38.33,41.33
S006,Rudra,Reddy,TY,6,53,11,1,6,27,37,23.33,14.329999999999998
S007,Aditya,Kumar,SY,7,75,25,3,45,91,63,66.33,68.33
S008,Reyansh,Mishra,FY,8,82,15,1,12,40,97,49.67,52.67
S009,Krishna,Singh,TY,9,89,50,4,39,99,37,58.33,66.33
S010,Arjun,Kumar,TY,10,92,36,4,41,63,49,51.0,47.0
S011,Vihaan,Patel,TY,11,61,21,1,8,26,97,43.67,35.67
S012,Krishna,Kumar,SY,12,62,56,1,49,62,81,64.0,68.0
S013,Krishna,Reddy,TY,13,96,28,1,26,16,29,23.67,26.67
S014,Aditya,Kumar,TY,14,47,13,1,65,72,78,71.67,71.67
S015,Sai,Patel,TY,15,54,27,4,4,32,90,42.0,46.0
S016,Arjun,Reddy,TY,16,83,4,2,28,83,50,53.67,55.67
S017,Vivaan,Yadav,FY,17,87,46,1,36,76,62,58.0,65.0
S018,Krishna,Verma,FY,18,96,48,1,37,91,97,75.0,70.0
S019,Sai,Verma,TY,19,75,29,4,82,28,51,53.67,45.67
S020,Vivaan,Das,SY,20,53,45,4,7,12,37,18.67,26.67
S021,Arjun,Yadav,FY,21,61,51,3,64,45,96,68.33,72.33
S022,Aarav,Yadav,TY,22,76,4,1,85,34,87,68.67,62.67
S023,Rudra,Kumar,FY,23,52,11,3,16,5,78,33.0,32.0
S024,Sai,Verma,FY,24,95,15,4,70,81,29,60.0,56.0
S025,Ishaan,Patel,SY,25,56,25,4,88,68,50,68.67,74.67
S026,Aarav,Gupta,TY,26,31,25,2,44,46,80,56.67,52.67
S027,Rudra,Gupta,TY,27,46,47,1,3,24,4,10.33,11.33
S028,Aditya,Reddy,SY,28,62,20,3,35,65,28,42.67,48.67
S029,Reyansh,Verma,SY,29,38,38,4,69,9,3,27.0,29.0
S030,Vihaan,Verma,TY,30,72,35,4,30,55,9,31.33,40.33
S031,Ishaan,Gupta,TY,31,77,32,3,18,29,55,34.0,27.0
S032,Aditya,Verma,SY,32,68,29,2,60,4,16,26.67,25.67
S033,Arjun,Kumar,FY,33,71,36,4,53,32,73,52.67,44.67
S034,Aditya,Singh,FY,34,55,22,1,38,64,16,39.33,37.33
S035,Reyansh,Sharma,SY,35,79,57,4,90,17,83,63.33,65.33
S036,Arjun,Yadav,FY,36,54,9,1,73,95,87,85.0,92.0
S037,Ishaan,Das,SY,37,53,53,3,89,48,68,68.33,72.33
S038,Reyansh,Reddy,FY,38,42,4,1,18,10,33,20.33,13.329999999999998
S039,Vivaan,Singh,FY,39,89,35,3,38,84,5,42.33,46.33
S040,Vihaan,Gupta,TY,40,36,33,1,66,25,52,47.67,38.67
S041,Ishaan,Yadav,TY,41,86,51,3,44,62,65,57.0,61.0
S042,Vivaan,Verma,FY,42,65,30,1,12,88,76,58.67,55.67
S043,Rudra,Das,FY,43,74,9,2,91,85,42,72.67,69.67
S044,Ishaan,Verma,TY,44,49,57,1,57,58,74,63.0,69.0
S045,Rudra,Patel,TY,45,94,18,1,19,26,22,22.33,23.33
S046,Arjun,Patel,TY,46,37,57,2,91,48,54,64.33,72.33
S047,Vivaan,Das,SY,47,45,31,4,71,76,79,75.33,74.33
S048,Vihaan,Das,FY,48,43,0,4,60,32,94,62.0,60.0
S049,Reyansh,Gupta,TY,49,44,55,1,38,97,74,69.67,63.67
S050,Krishna,Das,FY,50,95,4,2,0,98,15,37.67,32.67
S051,Aditya,Kumar,SY,51,61,44,1,2,0,7,3.0,12.0
S052,Aarav,Verma,SY,52,92,3,3,76,20,3,33.0,24.0
S053,Vihaan,Singh,TY,53,80,15,3,91,54,3,49.33,51.33
S054,Vivaan,Mishra,SY,54,54,23,1,61,5,55,40.33,35.33
S055,Krishna,Das,FY,55,87,15,4,62,91,24,59.0,53.0
S056,Vihaan,Reddy,TY,56,92,54,4,24,80,66,56.67,46.67
S057,Vivaan,Patel,FY,57,91,1,1,55,68,95,72.67,67.67
S058,Sai,Kumar,FY,58,51,48,1,32,94,66,64.0,59.0
S059,Sai,Yadav,SY,59,87,27,3,37,4,26,22.33,27.33
S060,Rudra,Mishra,SY,60,87,31,4,5,2,92,33.0,26.0
S061,Vihaan,Singh,SY,61,78,26,1,57,52,31,46.67,46.67
S062,Sai,Mishra,SY,62,81,19,3,43,22,49,38.0,36.0
S063,Vivaan,Das,SY,63,71,23,4,44,52,60,52.0,44.0
S064,Rudra,Gupta,TY,64,99,11,2,31,36,50,39.0,47.0
S065,Vivaan,Patel,FY,65,44,49,3,44,73,18,45.0,42.0
S066,Rudra,Patel,FY,66,83,34,4,60,73,20,51.0,45.0
S067,Vihaan,Yadav,FY,67,89,59,4,46,82,4,44.0,37.0
S068,Krishna,Gupta,FY,68,37,32,3,20,16,81,39.0,34.0
S069,Reyansh,Verma,SY,69,82,32,2,79,84,91,84.67,75.67
S070,Ishaan,Sharma,FY,70,89,50,3,84,77,41,67.33,76.33
S071,Krishna,Kumar,TY,71,34,42,4,74,72,60,68.67,68.67
S072,Arjun,Patel,TY,72,97,36,1,35,0,21,18.67,11.670000000000002
S073,Vivaan,Reddy,FY,73,35,11,1,98,50,20,56.0,60.0
S074,Arjun,Patel,FY,74,76,2,3,18,44,69,43.67,38.67
S075,Krishna,Mishra,TY,75,84,0,4,19,76,0,31.67,37.67
S076,Rudra,Patel,TY,76,69,32,1,56,3,4,21.0,16.0
S077,Ishaan,Patel,SY,77,81,39,4,17,61,11,29.67,37.67
S078,Ishaan,Sharma,TY,78,45,9,3,46,64,89,66.33,57.33
S079,Aarav,Sharma,SY,79,42,42,1,48,31,45,41.33,45.33
S080,Ishaan,Singh,SY,80,59,43,4,13,33,33,26.33,26.33
S081,Reyansh,Verma,SY,81,48,28,1,14,91,48,51.0,48.0
S082,Ishaan,Reddy,SY,82,46,12,3,30,94,77,67.0,75.0
S083,Krishna,Patel,SY,83,92,11,4,0,71,89,53.33,55.33
S084,Aarav,Patel,FY,84,48,30,1,53,38,44,45.0,46.0
S085,Krishna,Kumar,TY,85,87,45,3,2,25,26,17.67,11.670000000000002
S086,Krishna,Sharma,SY,86,84,1,1,15,33,72,40.0,35.0
S087,Aditya,Reddy,TY,87,91,50,1,86,53,25,54.67,47.67
S088,Aarav,Yadav,TY,88,52,49,2,56,2,46,34.67,42.67
S089,Krishna,Singh,SY,89,38,34,2,74,49,85,69.33,78.33
S090,Aditya,Verma,FY,90,41,22,3,11,11,55,25.67,15.670000000000002
S091,Aditya,Gupta,SY,91,30,16,2,73,64,93,76.67,85.67
S092,Aarav,Verma,FY,92,87,25,3,95,53,62,70.0,76.0
S093,Arjun,Mishra,TY,93,30,7,2,15,4,47,22.0,23.0
S094,Rudra,Patel,FY,94,63,28,1,71,93,60,74.67,78.67
S095,Reyansh,Singh,FY,95,77,25,3,75,93,80,82.67,72.67
S096,Rudra,Mishra,FY,96,30,9,3,23,56,25,34.67,37.67
S097,Ishaan,Reddy,TY,97,45,25,1,27,16,35,26.0,21.0
S098,Reyansh,Gupta,TY,98,90,33,3,7,46,0,17.67,11.670000000000002
