student_id,first_name,last_name,class,roll_no,attendance_percent,fees_due_days,attempts_in_subject_X,last_test_1,last_test_2,last_test_3,last_3_tests_avg,previous_3_tests_avg
S1001,Ramesh,Kumar,Diploma-CS,01,62,25,2,38,50,11,51,37
S1002,Priya,Sharma,Diploma-CS,02,85,0,1,78,82,75,78.3,72
S1003,Amit,Singh,Diploma-ME,03,45,120,4,35,40,38,37.7,58
S1004,Sneha,Patel,Diploma-CS,04,78,15,1,85,88,82,85,80
S1005,Rohit,Gupta,Diploma-EE,05,55,90,3,48,45,42,45,62
S1006,Kavya,Reddy,Diploma-CS,06,92,0,1,90,88,92,90,85
S1007,Arjun,Mehta,Diploma-ME,07,68,60,2,65,58,62,61.7,70
S1008,Pooja,Joshi,Diploma-EE,08,12,150,5,25,30,28,27.7,55
S1009,Vikram,Nair,Diploma-CS,09,88,5,1,92,89,91,90.7,88
S1010,Anita,Verma,Diploma-ME,10,72,25,2,68,72,70,70,75
S1011,Karan,Yadav,Diploma-EE,11,58,75,3,52,48,55,51.7,68
S1012,Divya,Agarwal,Diploma-CS,12,95,0,1,95,93,97,95,92
S1013,Yash,Patel,Diploma-ME,13,40,110,4,38,35,32,35,55
S1014,Sakshi,Jain,Diploma-EE,14,65,20,2,60,62,58,60,66
S1015,Rohan,Roy,Diploma-CS,15,77,5,1,72,76,78,75.3,74
S1016,Mansi,Kulkarni,Diploma-ME,16,48,95,4,42,45,40,42.3,55
S1017,Aditya,Gupta,Diploma-EE,17,85,0,1,82,88,85,85,83
S1018,Kavya,Chopra,Diploma-CS,18,55,60,3,50,53,48,50.3,57
S1019,Harsh,Malik,Diploma-ME,19,92,0,1,90,92,95,92.3,91
S1020,Priya,Rane,Diploma-EE,20,42,125,5,30,32,28,30,55
S1021,Aniket,Sharma,Diploma-CS,21,60,35,2,55,58,52,55,65
S1022,Meera,Patil,Diploma-ME,22,78,10,1,75,78,80,77.7,76
S1023,Rahul,Kumar,Diploma-EE,23,45,100,4,38,42,40,40,55
S1024,Sneha,Reddy,Diploma-CS,24,82,0,1,80,84,88,84,82
S1025,Arjun,Jain,Diploma-ME,25,50,50,3,45,50,48,47.7,55
S1026,Divya,Chopra,Diploma-EE,26,90,0,1,88,90,92,90,89
S1027,Vivek,Sharma,Diploma-CS,27,40,120,5,35,38,32,35,55
S1028,Kavya,Patel,Diploma-ME,28,65,25,2,60,62,58,60,66
S1029,Rohit,Gupta,Diploma-EE,29,55,75,3,48,50,45,47.7,55
S1030,Sakshi,Rane,Diploma-CS,30,92,0,1,90,88,92,90,85
S1031,Harsh,Kumar,Diploma-ME,31,48,95,4,42,45,40,42.3,55
S1032,Anita,Sharma,Diploma-EE,32,85,5,1,82,88,85,85,83
